time,lead_I,lead_II,lead_III,lead_aVR,lead_aVL,lead_aVF,lead_V1,lead_V2,lead_V3,lead_V4,lead_V5,lead_V6
0.0,-0.039784030047562216,-0.06666194067254981,-0.01990575704452414,0.01579078421926424,-0.02751996936316219,-0.012297807396314992,-0.04314611285992074,-0.012891615481840125,-0.02914257210339418,-0.03500682771728303,-0.006568110928320232,-0.0371395491236909
0.002777777777777778,0.17572324031006994,0.19957183810838686,0.1151223029876398,-0.08204306034223734,0.16336679761133255,0.1436170703918002,0.12962872917259036,0.17483359525465123,0.21303968795138728,0.1904555312872581,0.17149612133800357,0.16259629131492231
0.005555555555555556,0.384653320783644,0.30546251830631554,0.22503316974565973,-0.15309990608551927,0.33082482619089243,0.3083266238444066,0.19407328711169797,0.3150147665329158,0.33792317237457226,0.3793909825703209,0.3430438364995619,0.30659839349712525
0.008333333333333333,0.5081486670204267,0.43105296309535995,0.31354432011643874,-0.237920353060823,0.48755053565021456,0.33232944624296257,0.23152311871303113,0.4187696523404413,0.4614340208815583,0.5267342752505288,0.4692373587750191,0.3985823667492577
0.011111111111111112,0.7216748981117563,0.5656760061836335,0.453113973848885,-0.2805908513889668,0.6630040083641079,0.513441027542536,0.39405889240440195,0.6286232642370843,0.6487751858837936,0.7076988503581016,0.6510090650009849,0.581454138144839
0.01388888888888889,0.7335393695639931,0.5866471275996811,0.4369551886797118,-0.28606434400535735,0.6351442047629846,0.5183709364098003,0.35354712664320076,0.548403814932476,0.6597336649620197,0.7549364921132603,0.6475488885280178,0.5823424216004385
0.016666666666666666,0.7810281372977188,0.6302619925421591,0.466119017882137,-0.30527651227385144,0.7013436140181465,0.595816657907578,0.41689885874101773,0.6335074500671022,0.7421077858103869,0.8132481649445354,0.7121186387651639,0.6411712324204019
0.019444444444444445,0.6474412494178238,0.5600576069309573,0.4136709039490629,-0.268628831595678,0.6322196807847862,0.4885441456945513,0.33055986978889856,0.5213957205299821,0.6740123054645287,0.6837786893228409,0.5635320520532735,0.5364799488396343
0.022222222222222223,0.7333378547068115,0.5552240145214936,0.45240616480106743,-0.28210167430422406,0.6890973714978387,0.5407621356100811,0.39930188504823527,0.6011040927217154,0.6573123706504114,0.7165316346757747,0.6678995178643933,0.5764627687734379
0.025,0.7836476749495713,0.6178285221439921,0.4641430065152305,-0.2948579723524011,0.666243147093556,0.5426780024510669,0.36596889680526595,0.5886795255463977,0.6732946418068269,0.75927088829811,0.6441022372263944,0.595960863248885
